country,value
Switzerland,7.587
Iceland,7.561
Denmark,7.527
Norway,7.522
Canada,7.427
Finland,7.406
Netherlands,7.378
Sweden,7.364
New Zealand,7.286
Australia,7.284
Israel,7.278
Costa Rica,7.226
Austria,7.2
Mexico,7.187
United States,7.119
Brazil,6.983
Luxembourg,6.946
Ireland,6.94
Belgium,6.937
United Arab Emirates,6.901
United Kingdom,6.867
Oman,6.853
Venezuela,6.81
Singapore,6.798
Panama,6.786
Germany,6.75
Chile,6.67
Qatar,6.611
France,6.575
Argentina,6.574
Czech Republic,6.505
Uruguay,6.485
Colombia,6.477
Thailand,6.455
Saudi Arabia,6.411
Spain,6.329
Malta,6.302
Taiwan,6.298
Kuwait,6.295
Suriname,6.269
Trinidad and Tobago,6.168
El Salvador,6.13
Guatemala,6.123
Uzbekistan,6.003
Slovakia,5.995
Japan,5.987
South Korea,5.984
Ecuador,5.975
Bahrain,5.96
Italy,5.948
Bolivia,5.89
Moldova,5.889
Paraguay,5.878
Kazakhstan,5.855
Slovenia,5.848
Lithuania,5.833
Nicaragua,5.828
Peru,5.824
Belarus,5.813
Poland,5.791
Malaysia,5.77
Croatia,5.759
Libya,5.754
Russia,5.716
Jamaica,5.709
North Cyprus,5.695
Cyprus,5.689
Algeria,5.605
Kosovo,5.589
Turkmenistan,5.548
Mauritius,5.477
Hong Kong,5.474
Estonia,5.429
Indonesia,5.399
Vietnam,5.36
Turkey,5.332
Kyrgyzstan,5.286
Nigeria,5.268
Bhutan,5.253
Azerbaijan,5.212
Pakistan,5.194
Jordan,5.192
Montenegro,5.192
China,5.14
Zambia,5.129
Romania,5.124
Serbia,5.123
Portugal,5.102
Latvia,5.098
Philippines,5.073
Somaliland region,5.057
Morocco,5.013
Macedonia,5.007
Mozambique,4.971
Albania,4.959
Bosnia and Herzegovina,4.949
Lesotho,4.898
Dominican Republic,4.885
Laos,4.876
Mongolia,4.874
Swaziland,4.867
Greece,4.857
Lebanon,4.839
Hungary,4.8
Honduras,4.788
Tajikistan,4.786
Tunisia,4.739
Palestinian Territories,4.715
Bangladesh,4.694
Iran,4.686
Ukraine,4.681
Iraq,4.677
South Africa,4.642
Ghana,4.633
Zimbabwe,4.61
Liberia,4.571
India,4.565
Sudan,4.55
Haiti,4.518
Congo (Kinshasa),4.517
Nepal,4.514
Ethiopia,4.512
Sierra Leone,4.507
Mauritania,4.436
Kenya,4.419
Djibouti,4.369
Armenia,4.35
Botswana,4.332
Myanmar,4.307
Georgia,4.297
Malawi,4.292
Sri Lanka,4.271
Cameroon,4.252
Bulgaria,4.218
Egypt,4.194
Yemen,4.077
Angola,4.033
Mali,3.995
Congo (Brazzaville),3.989
Comoros,3.956
Uganda,3.931
Senegal,3.904
Gabon,3.896
Niger,3.845
Cambodia,3.819
Tanzania,3.781
Madagascar,3.681
Central African Republic,3.678
Chad,3.667
Guinea,3.656
Ivory Coast,3.655
Burkina Faso,3.587
Afghanistan,3.575
Rwanda,3.465
Benin,3.34
Syria,3.006
Burundi,2.905
Togo,2.839